Full Name,E-mail,Phone #,Date,Ad ID,Opted In
Oscar Elliott,oscar.elliott46332@hotmail.com,201-715-7137,10-Jun-2026,camp_39,TRUE
Daniel Morales,DANIEL.MORALES32277@HOTMAIL.COM,+1 (714) 593-8935,13-May-2026,camp_9,I do not agree
,,(814) 901-0968,2026-06-16T04:18:59Z,camp_1,Y
Mary Roberts,mary.roberts24972@gmail.com,885.3339,09-May-2026,camp_35,I agree
,,702-744-2825,05/29/2026 05:18 AM,camp_16,No
Mariah Glenn,mariah.glenn74493@hotmail.com,375.7717,04/19/2026 04:19 PM,camp_8,False
Pamela Jensen 🔥,pamela.jensen48951@hotmail.com,2059537238,07/01/2026 06:19 PM,camp_11,I do not agree
Kathleen Hammond,kathleen.hammond62050,213-647-8174,1777889941,camp_24,TRUE
George Dodson,asdf@asdf,12345,1782184738,camp_33,False
Gabriel Hall,asdf@asdf,8049317827,1784042339,camp_27,yes
Denise Rice,,N/A,2026-05-19T00:19:00Z,camp_31,yes
Alexandra Shaffer,asdf@asdf,2058345074,07/09/2026 06:18 PM,camp_4,TRUE
Julie Schwartz,julie.schwartz79122@yahoo.com,(715) 279-9176,05/05/2026 04:19 AM,camp_11,yes
Glenn Haas,asdf@asdf,N/A,1783444737,camp_16,False
Amber Friedman,AMBER.FRIEDMAN4470@YAHOO.COM,4088205926,1777825137,camp_20,True
Nicole Haley,NICOLE.HALEY67829@YAHOO.COM,000-000-0000,04/29/2026 10:19 PM,camp_16,N
Audrey Collins,audrey.collins6322@hotmail.com,+1 (707) 642-6261,1781662737,camp_14,No
Kathleen Bauer,kathleen.bauer48878@gmail.com,(315) 842-9257,18-Jul-2026,camp_11,Y
,dawn.wise7887,7076860533,04/26/2026 07:18 PM,camp_17,
Suzanne Garrett,,12345,1779927539,camp_27,N
Eric Curtis,ERIC.CURTIS33820@GMAIL.COM,1-515-964-6170,2026-07-17T20:18:59Z,camp_17,yes
Brad Neal,BRAD.NEAL16672,6173394603,2026-05-10T02:18:57Z,camp_21,FALSE
Brett Smith 💯,test52678@test.com,316-557-2032,2026-07-13T23:19:01Z,camp_12,N
STEPHEN DRAKE,stephen.drake12229@gmail.com,+1 (301) 654-6762,02-Jun-2026,camp_6,True
Julie Mullins,julie.mullins9196 at gmail.com,+1 (803) 418-0214,1783707537,camp_27,True
Eric Chang,eric.chang7541@gmail.com,+1 (203) 988-7229,30-May-2026,camp_9,Y
Daniel Kerr,daniel.kerr23254@yahoo.com,8046217027,05/17/2026 01:18 AM,camp_26,True
Adam Lopez,adam.lopez59156@gmail.com,901-317-4636,1776565141,camp_38,yes
Riley Quinn,RILEY.QUINN75307@HOTMAIL.COM,305-577-1762,07/07/2026 05:19 PM,camp_4,True
Donald Wolfe,donald.wolfe44047@hotmail.com,+1 (909) 268-5643,1784078340,camp_34,I agree
Kimberly Allen,kimberly.allen14735@hotmail.com,+1 (218) 225-4732,2026-06-21T21:18:57Z,camp_36,I agree
,joseph.hines59884@yahoo.com,+1 (801) 960-5232,07-May-2026,camp_14,Yes
Frank Robinson,FRANK.ROBINSON43625@YAHOO.COM,7044461308,2026-04-22T21:19:00Z,camp_5,Yes
Laurie Henderson,laurie.henderson18636@hotmail.com,000-000-0000,2026-05-25T17:18:58Z,camp_30,TRUE
Ashley Ray,ASHLEY.RAY43042@YAHOO.COM,+1 (205) 421-4646,04-Jun-2026,camp_6,True
,test8807@test.com,12345,31-May-2026,camp_14,I agree
Sean Harvey,sean.harvey21636@gmail.com,616-322-6984,1783041538,camp_27,I agree
AMY MARTINEZ,test79897@test.com,N/A,04/22/2026 10:19 AM,camp_28,FALSE
John Grimes,asdf@asdf,12345,04/20/2026 03:18 PM,camp_26,I agree
Robert Travis,asdf@asdf,6062653352,1779484741,camp_16,yes
Joseph Jackson,test50932@test.com,8054780913,2026-04-19T04:19:01Z,camp_33,Y
Ricky Hall,RICKY.HALL72956@YAHOO.COM,801-546-6930,2026-05-18T09:19:02Z,camp_28,Y
Sarah Little,SARAH.LITTLE40670@HOTMAIL.COM,3057619364,1781543940,camp_20,
David Coleman,david.coleman42816@yahoo.com,12345,2026-05-09T04:19:00Z,camp_13,yes
Carlos Adams,carlos.adams41259@hotmail.com,3125387075,30-Apr-2026,camp_4,True
Jason Rhodes,,6103373152,04/21/2026 10:18 AM,camp_25,I agree
Alejandro Miller,alejandro.miller24706@hotmail.com,+1 (305) 336-2837,2026-07-17T20:18:58Z,camp_40,N
Megan Stokes,,(317) 287-4514,1778264342,camp_7,I do not agree
,michelle.bailey30830@hotmail.com,608-470-1971,24-Jun-2026,camp_15,Y
Joseph Sullivan,JOSEPH.SULLIVAN63743@HOTMAIL.COM,715-978-5083,2026-06-04T21:19:02Z,camp_22,Yes
Amanda Perez,AMANDA.PEREZ65886@HOTMAIL.COM,(802) 977-6812,05/18/2026 06:19 AM,camp_23,TRUE
Barbara Curtis,barbara.curtis75648,+1 (515) 312-3981,05-May-2026,camp_26,True
Samantha Stark,samantha.stark47152,000-000-0000,2026-06-07T08:19:00Z,camp_39,
Brittany Carter,,+1 (702) 632-3819,04/25/2026 12:18 PM,camp_35,FALSE
Jeremy Hill,,(910) 754-2567,2026-05-04T00:18:59Z,camp_10,yes
Ann Phillips,test13503@test.com,N/A,11-Jul-2026,camp_32,Y
Susan Taylor,susan.taylor74471@gmail.com,(602) 541-1876,06/15/2026 11:19 AM,camp_6,Y
Sarah Mckenzie,SARAH.MCKENZIE31189@YAHOO.COM,609-903-7042,07-Jul-2026,camp_21,Yes
Michelle Smith,MICHELLE.SMITH26931@GMAIL.COM,719-549-3176,1783027138,camp_26,No
Douglas Chang,douglas.chang77325 at hotmail.com,12345,21-Apr-2026,camp_21,False
Melinda Ford,melinda.ford69972@gmail.com,364.8825,1781104742,camp_12,True
Jesus Garcia,test62470@test.com,+1 (305) 976-1272,06/19/2026 12:19 PM,camp_21,
Jason Walsh,jason.walsh32092 at hotmail.com,000-000-0000,17-Jul-2026,camp_39,True
Amanda Mejia 💯,amanda.mejia20570 at yahoo.com,(518) 404-0392,05/05/2026 02:18 PM,camp_28,TRUE
Melissa Taylor,melissa.taylor40500@gmail.com,302-256-4088,1779495540,camp_31,TRUE
,SAMANTHA.LOVE56081@GMAIL.COM,9072746915,07/03/2026 04:19 PM,camp_17,FALSE
Susan Lara,susan.lara21107@hotmail.com,+1 (314) 786-6965,24-May-2026,camp_3,yes
Timothy Guzman,timothy.guzman39778 at yahoo.com,(413) 518-9186,05/19/2026 12:19 PM,camp_27,TRUE
George Rice,GEORGE.RICE32915@YAHOO.COM,+1 (707) 798-0101,2026-05-06T00:18:59Z,camp_34,yes
Veronica Mathews,,1-313-681-5148,1777418342,camp_30,True
,matthew.strickland56426@yahoo.com,8155494817,04-Jun-2026,camp_30,yes
Jason Russell,jason.russell45654@gmail.com,908-659-2452,1777933140,camp_13,Y
Omar Walker,omar.walker6518@hotmail.com,1-515-594-2628,1780463937,camp_8,Yes
Andrew Harrell,,N/A,1777634339,camp_8,TRUE
Ryan Adams,ryan.adams12355 at hotmail.com,1-904-981-1386,05-Jun-2026,camp_9,TRUE
Anthony Jackson,ANTHONY.JACKSON20699@GMAIL.COM,5132332178,2026-07-04T00:18:58Z,camp_15,Yes
BRYCE MITCHELL,bryce.mitchell20788,(714) 563-2550,06/13/2026 11:18 AM,camp_5,I agree
Jamie Mccoy,JAMIE.MCCOY40402@GMAIL.COM,409-777-3724,2026-07-12T09:19:00Z,camp_4,Yes
Zachary Schneider,zachary.schneider77576,737.9411,05/19/2026 03:19 AM,camp_32,TRUE
Stacie Flores,stacie.flores45454@hotmail.com,1-315-926-1367,1776907140,camp_20,no
Anthony Wilson,anthony.wilson48205 at gmail.com,(812) 676-0088,05/25/2026 05:19 PM,camp_21,True
JONATHAN MARKS,JONATHAN.MARKS35463@HOTMAIL.COM,+1 (216) 921-6529,07/10/2026 06:18 PM,camp_19,yes
Amanda Adams,amanda.adams66981@hotmail.com,1-513-300-2125,2026-05-16T23:19:02Z,camp_13,TRUE
Keith Wright ✨,test5366@test.com,313-600-6814,31-May-2026,camp_34,FALSE
Maria Massey,maria.massey22491,N/A,2026-07-17T03:18:58Z,camp_2,no
Rachel Martin,,3018787238,1777454336,camp_31,no
Julian Mcdowell,julian.mcdowell57789@hotmail.com,+1 (215) 646-6125,04-Jun-2026,camp_35,yes
